ts,iso_time,dataset,instrument_id,bar,open,high,low,close,volume_contracts,volume_base,volume_quote
1775015700000,2026-04-01T03:55:00Z,candles,BTC-USDT-SWAP,1m,68130.8,68150,68113.2,68129.1,3918.6,39.186,2670052.31194
1775015760000,2026-04-01T03:56:00Z,candles,BTC-USDT-SWAP,1m,68129.1,68150,68093.8,68102.2,2442.17,24.4217,1663670.4656
1775015820000,2026-04-01T03:57:00Z,candles,BTC-USDT-SWAP,1m,68102.2,68115.5,68102.2,68102.9,1142.17,11.4217,777919.23258
1775015880000,2026-04-01T03:58:00Z,candles,BTC-USDT-SWAP,1m,68102.9,68103,68090,68090,658.36,6.5836,448309.83733
1775015940000,2026-04-01T03:59:00Z,candles,BTC-USDT-SWAP,1m,68090,68165,68073.3,68130.4,8982.13,89.8213,6117826.91516
1775016000000,2026-04-01T04:00:00Z,candles,BTC-USDT-SWAP,1m,68130.3,68167.3,68118,68118,4462.68,44.6268,3041344.42378
1775016060000,2026-04-01T04:01:00Z,candles,BTC-USDT-SWAP,1m,68118,68217.2,68118,68173.8,11047.04,110.4704,7531996.45756
1775016120000,2026-04-01T04:02:00Z,candles,BTC-USDT-SWAP,1m,68173.9,68242.2,68153,68183.1,7274.29,72.7429,4961001.21107
1775016180000,2026-04-01T04:03:00Z,candles,BTC-USDT-SWAP,1m,68183.2,68183.2,68157.1,68163.4,3181.77,31.8177,2169002.9736
1775016240000,2026-04-01T04:04:00Z,candles,BTC-USDT-SWAP,1m,68163.4,68180.7,68120.1,68121.9,6567.83,65.6783,4475905.18438
1775016300000,2026-04-01T04:05:00Z,candles,BTC-USDT-SWAP,1m,68121.9,68122,68083.6,68108.8,2570.32,25.7032,1750394.02304
1775016360000,2026-04-01T04:06:00Z,candles,BTC-USDT-SWAP,1m,68108.8,68130,68108.7,68120.5,2928.13,29.2813,1994700.58646
1775016420000,2026-04-01T04:07:00Z,candles,BTC-USDT-SWAP,1m,68120.5,68128.8,68116,68116,639.03,6.3903,435301.72894
1775016480000,2026-04-01T04:08:00Z,candles,BTC-USDT-SWAP,1m,68116.1,68116.1,68084.8,68088.3,1093.75,10.9375,744819.08701
1775016540000,2026-04-01T04:09:00Z,candles,BTC-USDT-SWAP,1m,68088.2,68100,68078.1,68100,2289.51,22.8951,1558812.17488
1775016600000,2026-04-01T04:10:00Z,candles,BTC-USDT-SWAP,1m,68099.9,68100,68035.3,68077.6,11926.9,119.269,8118317.3205
1775016660000,2026-04-01T04:11:00Z,candles,BTC-USDT-SWAP,1m,68077.7,68088.1,68077.6,68082.2,1602.11,16.0211,1090760.24059
1775016720000,2026-04-01T04:12:00Z,candles,BTC-USDT-SWAP,1m,68082.2,68082.2,68006.7,68018.2,19001.87,190.0187,12927936.64485
1775016780000,2026-04-01T04:13:00Z,candles,BTC-USDT-SWAP,1m,68018.2,68076.9,67967.6,68036.9,30054.94,300.5494,20443407.22811
1775016840000,2026-04-01T04:14:00Z,candles,BTC-USDT-SWAP,1m,68036.9,68074.7,68003.5,68045.5,6074.03,60.7403,4132459.77599
1775016900000,2026-04-01T04:15:00Z,candles,BTC-USDT-SWAP,1m,68045.4,68057.8,68005.4,68034.9,4007.14,40.0714,2726358.33383
1775016960000,2026-04-01T04:16:00Z,candles,BTC-USDT-SWAP,1m,68034.8,68048.6,68029.4,68035,1654.96,16.5496,1126023.78702
1775017020000,2026-04-01T04:17:00Z,candles,BTC-USDT-SWAP,1m,68035.1,68074.5,68023.3,68074.5,1762.26,17.6226,1199129.17467
1775017080000,2026-04-01T04:18:00Z,candles,BTC-USDT-SWAP,1m,68074.6,68096.6,68062.8,68096.6,4828.32,48.2832,3287092.16737
1775017140000,2026-04-01T04:19:00Z,candles,BTC-USDT-SWAP,1m,68096.6,68107.9,68068.6,68084.8,2706.8,27.068,1843123.95187
1775017200000,2026-04-01T04:20:00Z,candles,BTC-USDT-SWAP,1m,68084.9,68125,68074.3,68125,4508.46,45.0846,3070860.12765
1775017260000,2026-04-01T04:21:00Z,candles,BTC-USDT-SWAP,1m,68125,68154,68076.8,68106.5,4139.59,41.3959,2819553.91078
1775017320000,2026-04-01T04:22:00Z,candles,BTC-USDT-SWAP,1m,68106.6,68202.4,68093.9,68150.2,28161.55,281.6155,19191416.23249
1775017380000,2026-04-01T04:23:00Z,candles,BTC-USDT-SWAP,1m,68150.2,68192.4,68129.5,68192.4,6224,62.24,4242752.97005
1775017440000,2026-04-01T04:24:00Z,candles,BTC-USDT-SWAP,1m,68192.4,68200,68081.7,68097.8,18865.56,188.6556,12853930.95546
1775017500000,2026-04-01T04:25:00Z,candles,BTC-USDT-SWAP,1m,68097.8,68137.7,68087.9,68127.2,2244.79,22.4479,1528824.65153
1775017560000,2026-04-01T04:26:00Z,candles,BTC-USDT-SWAP,1m,68127.2,68129,68118.2,68129,1064.09,10.6409,724927.05342
1775017620000,2026-04-01T04:27:00Z,candles,BTC-USDT-SWAP,1m,68129,68130.3,68094.2,68130.3,1772.07,17.7207,1206977.22625
1775017680000,2026-04-01T04:28:00Z,candles,BTC-USDT-SWAP,1m,68130.3,68132.6,68118.7,68118.7,2359.57,23.5957,1607486.4579
1775017740000,2026-04-01T04:29:00Z,candles,BTC-USDT-SWAP,1m,68118.8,68127.9,68112.8,68121.3,1998.95,19.9895,1361689.56883
1775017800000,2026-04-01T04:30:00Z,candles,BTC-USDT-SWAP,1m,68121.2,68150,68121.2,68132.7,2599.28,25.9928,1771127.96358
1775017860000,2026-04-01T04:31:00Z,candles,BTC-USDT-SWAP,1m,68132.6,68132.7,68098.7,68106.6,1366.81,13.6681,930902.2439
1775017920000,2026-04-01T04:32:00Z,candles,BTC-USDT-SWAP,1m,68106.6,68106.6,68070.8,68106.6,1765.03,17.6503,1201835.60435
1775017980000,2026-04-01T04:33:00Z,candles,BTC-USDT-SWAP,1m,68106.6,68125.1,68106.5,68115.5,1514.49,15.1449,1031617.06294
1775018040000,2026-04-01T04:34:00Z,candles,BTC-USDT-SWAP,1m,68115.4,68146.2,68112.2,68140.3,2000.66,20.0066,1362882.69555
1775018100000,2026-04-01T04:35:00Z,candles,BTC-USDT-SWAP,1m,68140.3,68153.3,68115.1,68115.2,2489.08,24.8908,1695942.36956
1775018160000,2026-04-01T04:36:00Z,candles,BTC-USDT-SWAP,1m,68115.1,68115.2,68100,68106.8,1324.58,13.2458,902122.74324
1775018220000,2026-04-01T04:37:00Z,candles,BTC-USDT-SWAP,1m,68106.8,68173.7,68106.7,68173.7,1038.86,10.3886,708033.68433
1775018280000,2026-04-01T04:38:00Z,candles,BTC-USDT-SWAP,1m,68173.6,68200,68173.6,68184,3086.77,30.8677,2104806.25914
1775018340000,2026-04-01T04:39:00Z,candles,BTC-USDT-SWAP,1m,68184.1,68184.1,68153.3,68174.5,1729.16,17.2916,1178760.62941
1775018400000,2026-04-01T04:40:00Z,candles,BTC-USDT-SWAP,1m,68174.5,68177.3,68163.2,68177.2,2183.17,21.8317,1488216.23075
1775018460000,2026-04-01T04:41:00Z,candles,BTC-USDT-SWAP,1m,68177.3,68228.6,68177.3,68228.6,5359.38,53.5938,3655738.48775
1775018520000,2026-04-01T04:42:00Z,candles,BTC-USDT-SWAP,1m,68228.6,68249.9,68215.2,68225,6300.42,63.0042,4299257.56636
1775018580000,2026-04-01T04:43:00Z,candles,BTC-USDT-SWAP,1m,68225,68235.4,68206.8,68211.1,3222.94,32.2294,2198856.20579
1775018640000,2026-04-01T04:44:00Z,candles,BTC-USDT-SWAP,1m,68211.1,68211.2,68188.1,68188.1,1347.62,13.4762,919092.11673
1775018700000,2026-04-01T04:45:00Z,candles,BTC-USDT-SWAP,1m,68188.2,68188.2,68172.2,68183.9,653.35,6.5335,445479.08012
1775018760000,2026-04-01T04:46:00Z,candles,BTC-USDT-SWAP,1m,68183.9,68200,68168,68200,1111.92,11.1192,758146.90575
1775018820000,2026-04-01T04:47:00Z,candles,BTC-USDT-SWAP,1m,68200,68200,68170,68179,855.8,8.558,583494.91664
1775018880000,2026-04-01T04:48:00Z,candles,BTC-USDT-SWAP,1m,68179,68199.6,68178.9,68199.6,1008.9,10.089,687949.19247
1775018940000,2026-04-01T04:49:00Z,candles,BTC-USDT-SWAP,1m,68199.6,68298,68199.5,68255.1,13193.35,131.9335,9006838.00686
1775019000000,2026-04-01T04:50:00Z,candles,BTC-USDT-SWAP,1m,68255.2,68276,68248.7,68275.9,1730.17,17.3017,1181025.11608
1775019060000,2026-04-01T04:51:00Z,candles,BTC-USDT-SWAP,1m,68275.9,68288,68254.5,68263.1,2599.38,25.9938,1774658.17008
1775019120000,2026-04-01T04:52:00Z,candles,BTC-USDT-SWAP,1m,68263,68291.8,68255.3,68288,2503.36,25.0336,1709165.13726
1775019180000,2026-04-01T04:53:00Z,candles,BTC-USDT-SWAP,1m,68288.1,68456.3,68264.6,68414.4,47313.51,473.1351,32348247.39735
1775019240000,2026-04-01T04:54:00Z,candles,BTC-USDT-SWAP,1m,68414.4,68418.2,68282.4,68304,11360.28,113.6028,7763966.07246
1775019300000,2026-04-01T04:55:00Z,candles,BTC-USDT-SWAP,1m,68304,68308.6,68265.9,68274.6,3993.73,39.9373,2727260.6183
1775019360000,2026-04-01T04:56:00Z,candles,BTC-USDT-SWAP,1m,68274.5,68286.8,68200,68231.3,9472.75,94.7275,6463759.59129
1775019420000,2026-04-01T04:57:00Z,candles,BTC-USDT-SWAP,1m,68231.2,68248.4,68222,68229.5,3447.24,34.4724,2352494.85404
1775019480000,2026-04-01T04:58:00Z,candles,BTC-USDT-SWAP,1m,68229.6,68256.9,68229.6,68253.4,2203.57,22.0357,1503865.14182
1775019540000,2026-04-01T04:59:00Z,candles,BTC-USDT-SWAP,1m,68253.5,68272.2,68250,68272.2,1246.02,12.4602,850514.01683
1775019600000,2026-04-01T05:00:00Z,candles,BTC-USDT-SWAP,1m,68272.2,68280,68222.5,68233.7,8133.86,81.3386,5550941.58761
1775019660000,2026-04-01T05:01:00Z,candles,BTC-USDT-SWAP,1m,68233.7,68233.8,68195.8,68195.8,4177.87,41.7787,2849547.73097
1775019720000,2026-04-01T05:02:00Z,candles,BTC-USDT-SWAP,1m,68195.7,68195.7,68156.7,68158,7463.19,74.6319,5087638.69703
1775019780000,2026-04-01T05:03:00Z,candles,BTC-USDT-SWAP,1m,68158,68163.2,68136.9,68149,4200.73,42.0073,2862944.08487
1775019840000,2026-04-01T05:04:00Z,candles,BTC-USDT-SWAP,1m,68149.1,68149.1,68108.2,68125,4696.04,46.9604,3199371.76678
1775019900000,2026-04-01T05:05:00Z,candles,BTC-USDT-SWAP,1m,68124.9,68183.2,68110,68183.2,4138.04,41.3804,2819375.95769
1775019960000,2026-04-01T05:06:00Z,candles,BTC-USDT-SWAP,1m,68183.2,68199.7,68168.3,68179.9,6188.72,61.8872,4219740.55478
1775020020000,2026-04-01T05:07:00Z,candles,BTC-USDT-SWAP,1m,68179.9,68188.1,68173.7,68173.8,993.33,9.9333,677266.32511
1775020080000,2026-04-01T05:08:00Z,candles,BTC-USDT-SWAP,1m,68173.8,68189.8,68164.8,68189.8,1280.09,12.8009,872745.57482
1775020140000,2026-04-01T05:09:00Z,candles,BTC-USDT-SWAP,1m,68189.8,68200,68175.7,68194.9,2368.69,23.6869,1615170.79702
1775020200000,2026-04-01T05:10:00Z,candles,BTC-USDT-SWAP,1m,68195,68195,68176.7,68176.7,1258.89,12.5889,858364.59014
1775020260000,2026-04-01T05:11:00Z,candles,BTC-USDT-SWAP,1m,68176.7,68185.4,68172,68178.4,567.71,5.6771,387059.28922
1775020320000,2026-04-01T05:12:00Z,candles,BTC-USDT-SWAP,1m,68178.5,68178.5,68163,68166.7,966.93,9.6693,659123.43489
1775020380000,2026-04-01T05:13:00Z,candles,BTC-USDT-SWAP,1m,68166.6,68315.6,68166.6,68289.9,18897.23,188.9723,12899406.42585
1775020440000,2026-04-01T05:14:00Z,candles,BTC-USDT-SWAP,1m,68289.9,68400,68276.9,68377.1,16034.05,160.3405,10958796.91522
1775020500000,2026-04-01T05:15:00Z,candles,BTC-USDT-SWAP,1m,68377.1,68377.1,68328,68347.5,14146.53,141.4653,9670691.85606
1775020560000,2026-04-01T05:16:00Z,candles,BTC-USDT-SWAP,1m,68347.6,68360,68341.3,68360,3766.63,37.6663,2574463.4037
1775020620000,2026-04-01T05:17:00Z,candles,BTC-USDT-SWAP,1m,68360,68524,68359.9,68404.9,35580.08,355.8008,24357179.16039
1775020680000,2026-04-01T05:18:00Z,candles,BTC-USDT-SWAP,1m,68405,68405,68348.6,68400.3,12159.52,121.5952,8314424.62233
