ts,iso_time,dataset,instrument_id,bar,open,high,low,close,volume_contracts,volume_base,volume_quote
1774979820000,2026-03-31T17:57:00Z,candles,BTC-USDT-SWAP,1m,67432.5,67440.7,67388,67407.8,25028.94,250.2894,16871278.28638
1774979880000,2026-03-31T17:58:00Z,candles,BTC-USDT-SWAP,1m,67407.8,67493.5,67373.3,67455.4,16942.83,169.4283,11422960.00161
1774979940000,2026-03-31T17:59:00Z,candles,BTC-USDT-SWAP,1m,67455.4,67514,67432.8,67500.6,7117.94,71.1794,4803424.39471
1774980000000,2026-03-31T18:00:00Z,candles,BTC-USDT-SWAP,1m,67500.6,67568.3,67500.5,67528,9778.48,97.7848,6604000.58301
1774980060000,2026-03-31T18:01:00Z,candles,BTC-USDT-SWAP,1m,67528,67578.4,67500,67553.8,11221.11,112.2111,7579748.99546
1774980120000,2026-03-31T18:02:00Z,candles,BTC-USDT-SWAP,1m,67553.9,67602.1,67553.9,67568.6,8521.69,85.2169,5759341.99294
1774980180000,2026-03-31T18:03:00Z,candles,BTC-USDT-SWAP,1m,67568.6,67627.5,67561.6,67613.4,4246.25,42.4625,2870375.52057
1774980240000,2026-03-31T18:04:00Z,candles,BTC-USDT-SWAP,1m,67613.4,67628.8,67591.7,67597.1,3694.19,36.9419,2497533.0311
1774980300000,2026-03-31T18:05:00Z,candles,BTC-USDT-SWAP,1m,67597,67637.5,67590,67610,7174.16,71.7416,4851151.04193
1774980360000,2026-03-31T18:06:00Z,candles,BTC-USDT-SWAP,1m,67610,67650,67553.3,67579.1,5448.66,54.4866,3683227.26843
1774980420000,2026-03-31T18:07:00Z,candles,BTC-USDT-SWAP,1m,67579,67669.3,67579,67652.7,3582.4,35.824,2423082.51831
1774980480000,2026-03-31T18:08:00Z,candles,BTC-USDT-SWAP,1m,67652.6,67684.7,67633.3,67655.9,7534.83,75.3483,5097827.50019
1774980540000,2026-03-31T18:09:00Z,candles,BTC-USDT-SWAP,1m,67655.9,67777,67655.8,67738.4,12399.76,123.9976,8399907.18626
1774980600000,2026-03-31T18:10:00Z,candles,BTC-USDT-SWAP,1m,67738.3,67738.4,67688.8,67694.6,6020.25,60.2025,4076269.25512
1774980660000,2026-03-31T18:11:00Z,candles,BTC-USDT-SWAP,1m,67694.7,67709.6,67650,67707.1,4378.08,43.7808,2962733.74903
1774980720000,2026-03-31T18:12:00Z,candles,BTC-USDT-SWAP,1m,67707.2,67709.6,67667.5,67667.7,2034.81,20.3481,1377265.20688
1774980780000,2026-03-31T18:13:00Z,candles,BTC-USDT-SWAP,1m,67667.8,67720,67667.7,67720,5966.19,59.6619,4038936.44458
1774980840000,2026-03-31T18:14:00Z,candles,BTC-USDT-SWAP,1m,67720,67753,67711.5,67749.9,4556.27,45.5627,3086420.03731
1774980900000,2026-03-31T18:15:00Z,candles,BTC-USDT-SWAP,1m,67749.9,67861,67738.2,67842.2,13132.17,131.3217,8905412.98755
1774980960000,2026-03-31T18:16:00Z,candles,BTC-USDT-SWAP,1m,67842.3,67875,67797.1,67863.8,5100.05,51.0005,3459580.27808
1774981020000,2026-03-31T18:17:00Z,candles,BTC-USDT-SWAP,1m,67863.7,67928.2,67854.5,67904.2,14087.83,140.8783,9564279.43614
1774981080000,2026-03-31T18:18:00Z,candles,BTC-USDT-SWAP,1m,67904.1,67910.2,67769.8,67769.8,10951.88,109.5188,7430156.17654
